start_date_utc,total_co2_marginal_intensity_lbs_per_mwh,coal_marginal_proportion,hydro_marginal_proportion,natural_gas_marginal_proportion,other_marginal_proportion,solar_marginal_proportion,storage_marginal_proportion,wind_marginal_proportion
2025-03-21T11:35:00+00:00,780.04,0.25,0,0.25,0,0,0,0.5
2025-03-21T11:40:00+00:00,456.27,0,0,0.5,0,0,0,0.5
2025-03-21T11:45:00+00:00,547.53,0,0,0.6,0,0,0,0.4
2025-03-21T11:50:00+00:00,608.37,0,0,0.67,0,0,0,0.33
2025-03-21T11:55:00+00:00,365.02,0,0,0.4,0,0,0,0.6
2025-03-21T12:00:00+00:00,630.74,0.29,0,0,0,0.14,0,0.57
2025-03-21T12:05:00+00:00,806.54,0.2,0,0.4,0,0.2,0,0.2
2025-03-21T12:10:00+00:00,1065.55,0.4,0,0.2,0,0.2,0,0.2
2025-03-21T12:15:00+00:00,456.27,0,0,0.5,0,0,0,0.5
2025-03-21T12:20:00+00:00,735.87,0.33,0,0,0,0,0,0.67
2025-03-21T12:25:00+00:00,672.12,0.17,0.17,0.33,0,0,0,0.33
2025-03-21T12:30:00+00:00,735.87,0.33,0,0,0,0,0,0.67
2025-03-21T12:35:00+00:00,576.1,0.14,0,0.29,0,0,0,0.57
2025-03-21T12:40:00+00:00,891.47,0.29,0,0.29,0,0,0,0.43
2025-03-21T12:45:00+00:00,780.04,0.25,0,0.25,0,0,0,0.5
2025-03-21T12:50:00+00:00,0,0,0,0,0,0.33,0,0.67
2025-03-21T12:55:00+00:00,228.14,0,0,0.25,0,0.5,0,0.25
2025-03-21T13:00:00+00:00,365.02,0,0,0.4,0,0.2,0,0.4
2025-03-21T13:05:00+00:00,456.27,0,0,0.5,0,0.25,0,0.25
2025-03-21T13:10:00+00:00,806.54,0.2,0,0.4,0,0.2,0,0.2
2025-03-21T13:15:00+00:00,342.21,0,0.13,0.38,0,0.13,0,0.38
2025-03-21T13:20:00+00:00,304.18,0,0.17,0.33,0,0,0,0.5
2025-03-21T13:25:00+00:00,780.04,0.25,0,0.25,0,0,0.13,0.38
2025-03-21T13:30:00+00:00,365.02,0,0,0.4,0,0,0,0.6
2025-03-21T13:35:00+00:00,780.04,0.25,0,0.25,0,0,0,0.5
2025-03-21T13:40:00+00:00,1021.84,0.29,0,0.43,0,0,0,0.29
2025-03-21T13:45:00+00:00,806.54,0.2,0,0.4,0,0,0,0.4
2025-03-21T13:50:00+00:00,1065.55,0.4,0,0.2,0,0.2,0,0.2
2025-03-21T13:55:00+00:00,989.05,0.2,0,0.6,0,0,0,0.2
2025-03-21T14:00:00+00:00,684.41,0,0,0.75,0,0,0,0.25
2025-03-21T14:05:00+00:00,976.3,0.17,0,0.67,0,0,0,0.17
2025-03-21T14:10:00+00:00,624.03,0.2,0,0.2,0,0,0,0.6
2025-03-21T14:15:00+00:00,824.21,0.17,0,0.5,0,0.17,0,0.17
2025-03-21T14:20:00+00:00,391.09,0,0,0.43,0,0.43,0,0.14
2025-03-21T14:25:00+00:00,891.47,0.29,0,0.29,0,0.14,0,0.29
2025-03-21T14:30:00+00:00,456.27,0,0,0.5,0,0.25,0,0.25
2025-03-21T14:35:00+00:00,684.41,0,0,0.75,0,0.25,0,0
2025-03-21T14:40:00+00:00,780.04,0.25,0,0.25,0,0.25,0,0.25
2025-03-21T14:45:00+00:00,1493.82,0.63,0,0.13,0,0,0,0.25
2025-03-21T14:50:00+00:00,365.02,0,0,0.4,0,0,0,0.6
2025-03-21T14:55:00+00:00,672.12,0.17,0,0.33,0,0,0,0.5
2025-03-21T15:00:00+00:00,806.54,0.2,0,0.4,0,0,0,0.4
2025-03-21T15:05:00+00:00,806.54,0.2,0,0.4,0,0,0,0.4
2025-03-21T15:10:00+00:00,806.54,0.2,0,0.4,0,0,0,0.4
2025-03-21T15:15:00+00:00,618.16,0.13,0.13,0.38,0,0.13,0,0.25
2025-03-21T15:20:00+00:00,365.02,0,0,0.4,0,0,0,0.6
2025-03-21T15:25:00+00:00,706.46,0.14,0,0.43,0,0.14,0,0.29
2025-03-21T15:30:00+00:00,806.54,0.2,0,0.4,0,0.2,0,0.2
2025-03-21T15:35:00+00:00,365.02,0,0,0.4,0,0.2,0,0.4
2025-03-21T15:40:00+00:00,456.27,0,0,0.5,0,0.25,0,0.25
2025-03-21T15:45:00+00:00,1040.05,0.33,0,0.33,0,0.33,0,0
2025-03-21T15:50:00+00:00,456.27,0,0,0.5,0,0,0,0.5
2025-03-21T15:55:00+00:00,824.21,0.17,0,0.5,0,0.17,0,0.17
2025-03-21T16:00:00+00:00,684.41,0,0,0.75,0,0,0,0.25
2025-03-21T16:05:00+00:00,780.04,0.25,0,0.25,0,0,0,0.5
2025-03-21T16:10:00+00:00,456.27,0,0.17,0.5,0,0,0,0.33
2025-03-21T16:15:00+00:00,780.04,0.25,0,0.25,0,0,0,0.5
2025-03-21T16:20:00+00:00,887.96,0.33,0,0.17,0,0.17,0,0.33
2025-03-21T16:25:00+00:00,672.12,0.17,0.17,0.33,0,0,0,0.33
2025-03-21T16:30:00+00:00,520.03,0.17,0,0.17,0,0.17,0,0.5
2025-03-21T16:35:00+00:00,730.04,0,0,0.8,0,0,0,0.2
2025-03-21T16:40:00+00:00,684.41,0,0,0.75,0,0,0,0.25
2025-03-21T16:45:00+00:00,806.54,0.2,0,0.4,0,0.2,0,0.2
2025-03-21T16:50:00+00:00,806.54,0.2,0,0.4,0,0,0,0.4
2025-03-21T16:55:00+00:00,706.46,0.14,0.14,0.43,0,0,0,0.29
2025-03-21T17:00:00+00:00,391.09,0,0.14,0.43,0,0,0,0.43
2025-03-21T17:05:00+00:00,806.54,0.2,0,0.4,0,0.2,0,0.2
2025-03-21T17:10:00+00:00,836.83,0.14,0,0.57,0,0,0,0.29
2025-03-21T17:15:00+00:00,1040.05,0.33,0,0.33,0,0.17,0,0.17
2025-03-21T17:20:00+00:00,1008.18,0.25,0,0.5,0,0.25,0,0
2025-03-21T17:25:00+00:00,624.03,0.2,0,0.2,0,0.4,0,0.2
2025-03-21T17:30:00+00:00,887.96,0.33,0,0.17,0,0.17,0,0.33
2025-03-21T17:35:00+00:00,887.96,0.33,0,0.17,0,0.33,0,0.17
2025-03-21T17:40:00+00:00,887.96,0.33,0,0.17,0,0.17,0,0.33
2025-03-21T17:45:00+00:00,806.54,0.2,0,0.4,0,0,0,0.4
2025-03-21T17:50:00+00:00,1493.82,0.63,0,0.13,0,0.13,0,0.13
2025-03-21T17:55:00+00:00,672.12,0.17,0,0.33,0,0.33,0,0.17
2025-03-21T18:00:00+00:00,1255.89,0.5,0,0.17,0,0.17,0,0.17
2025-03-21T18:05:00+00:00,1248.06,0.4,0,0.4,0,0.2,0,0
2025-03-21T18:10:00+00:00,1040.05,0.33,0,0.33,0,0.17,0,0.17
2025-03-21T18:15:00+00:00,891.47,0.29,0,0.29,0,0.14,0,0.29
2025-03-21T18:20:00+00:00,1021.84,0.29,0,0.43,0,0.14,0,0.14
2025-03-21T18:25:00+00:00,304.18,0,0,0.33,0,0.17,0.17,0.33
2025-03-21T18:30:00+00:00,804.7,0.14,0,0.29,0.14,0.14,0.14,0.14
2025-03-21T18:35:00+00:00,887.96,0.33,0,0.17,0,0.33,0,0.17
2025-03-21T18:40:00+00:00,672.12,0.17,0,0.33,0,0.17,0,0.33
2025-03-21T18:45:00+00:00,887.96,0.33,0,0.17,0,0.17,0,0.33
2025-03-21T18:50:00+00:00,883.04,0.4,0,0,0,0.4,0,0.2
2025-03-21T18:55:00+00:00,706.46,0.14,0,0.43,0,0.14,0.14,0.14
2025-03-21T19:00:00+00:00,304.18,0,0,0.33,0,0.33,0,0.33
2025-03-21T19:05:00+00:00,650.87,0.11,0,0.44,0,0.11,0,0.33
2025-03-21T19:10:00+00:00,504.09,0.13,0,0.25,0,0.13,0.13,0.38
2025-03-21T19:15:00+00:00,391.09,0,0,0.43,0,0.29,0,0.29
2025-03-21T19:20:00+00:00,130.36,0,0,0.14,0,0.29,0,0.57
2025-03-21T19:25:00+00:00,520.03,0.17,0,0.17,0,0,0,0.67
2025-03-21T19:30:00+00:00,887.96,0.33,0,0.17,0,0.33,0,0.17
2025-03-21T19:35:00+00:00,665.97,0.25,0,0.13,0,0.25,0,0.38
2025-03-21T19:40:00+00:00,576.1,0.14,0,0.29,0,0.43,0,0.14
2025-03-21T19:45:00+00:00,504.09,0.13,0,0.25,0,0.13,0,0.5
2025-03-21T19:50:00+00:00,618.16,0.13,0,0.38,0,0.25,0,0.25
2025-03-21T19:55:00+00:00,891.47,0.29,0,0.29,0,0.29,0.14,0
2025-03-21T20:00:00+00:00,1327.84,0.56,0,0.11,0,0,0.11,0.22
2025-03-21T20:05:00+00:00,665.97,0.25,0,0.13,0,0,0,0.63
2025-03-21T20:10:00+00:00,780.04,0.25,0,0.25,0,0,0,0.5
2025-03-21T20:15:00+00:00,1040.05,0.33,0,0.33,0,0,0,0.33
2025-03-21T20:20:00+00:00,304.18,0,0,0.33,0,0.17,0,0.5
2025-03-21T20:25:00+00:00,672.12,0.17,0,0.33,0,0.17,0,0.33
2025-03-21T20:30:00+00:00,824.21,0.17,0,0.5,0,0.17,0,0.17
2025-03-21T20:35:00+00:00,665.97,0.25,0,0.13,0,0.13,0,0.5
2025-03-21T20:40:00+00:00,761.11,0.29,0,0.14,0,0.14,0,0.43
2025-03-21T20:45:00+00:00,693.37,0.22,0,0.22,0,0.11,0,0.44
2025-03-21T20:50:00+00:00,883.04,0.4,0,0,0,0.4,0,0.2
2025-03-21T20:55:00+00:00,456.27,0,0,0.5,0,0.25,0,0.25
2025-03-21T21:00:00+00:00,366.61,0.09,0,0.18,0,0.27,0.18,0.27
2025-03-21T21:05:00+00:00,114.07,0,0,0.13,0,0.38,0,0.5
2025-03-21T21:10:00+00:00,693.37,0.22,0,0.22,0,0.33,0,0.22
2025-03-21T21:15:00+00:00,1040.05,0.33,0,0.33,0,0,0,0.33
2025-03-21T21:20:00+00:00,887.96,0.33,0,0.17,0,0.17,0,0.33
2025-03-21T21:25:00+00:00,549.47,0.11,0,0.33,0,0.11,0,0.44
2025-03-21T21:30:00+00:00,824.21,0.17,0,0.5,0,0,0,0.33
2025-03-21T21:35:00+00:00,1040.05,0.33,0,0.33,0,0.17,0,0.17
2025-03-21T21:40:00+00:00,891.47,0.29,0,0.29,0,0,0,0.43
2025-03-21T21:45:00+00:00,1206.84,0.43,0,0.29,0,0,0,0.29
2025-03-21T21:50:00+00:00,304.18,0,0,0.33,0,0,0,0.67
2025-03-21T21:55:00+00:00,1255.89,0.5,0,0.17,0,0,0,0.33
2025-03-21T22:00:00+00:00,1206.84,0.43,0,0.29,0,0,0,0.29
2025-03-21T22:05:00+00:00,182.51,0,0,0.2,0,0,0.2,0.6
2025-03-21T22:10:00+00:00,887.96,0.33,0,0.17,0,0,0,0.5
2025-03-21T22:15:00+00:00,624.03,0.2,0,0.2,0,0,0,0.6
2025-03-21T22:20:00+00:00,883.04,0.4,0,0,0,0,0,0.6
2025-03-21T22:25:00+00:00,549.47,0.11,0,0.33,0,0,0.11,0.44
2025-03-21T22:30:00+00:00,824.21,0.17,0,0.5,0,0,0,0.33
2025-03-21T22:35:00+00:00,624.03,0.2,0,0.2,0,0,0,0.6
2025-03-21T22:40:00+00:00,260.73,0,0,0.29,0,0.14,0,0.57
2025-03-21T22:45:00+00:00,891.47,0.29,0,0.29,0,0,0,0.43
2025-03-21T22:50:00+00:00,304.18,0,0.17,0.33,0,0,0,0.5
2025-03-21T22:55:00+00:00,806.54,0.2,0.2,0.4,0,0,0,0.2
2025-03-21T23:00:00+00:00,887.96,0.33,0.17,0.17,0,0,0,0.33
2025-03-21T23:05:00+00:00,1560.08,0.5,0,0.5,0,0,0,0
2025-03-21T23:10:00+00:00,672.12,0.17,0,0.33,0,0,0,0.5
2025-03-21T23:15:00+00:00,456.27,0,0,0.5,0,0,0,0.5
2025-03-21T23:20:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-21T23:25:00+00:00,2207.6,1,0,0,0,0,0,0
2025-03-21T23:30:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-21T23:35:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-21T23:40:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-21T23:45:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-21T23:50:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-21T23:55:00+00:00,2207.6,1,0,0,0,0,0,0
2025-03-22T00:00:00+00:00,2207.6,1,0,0,0,0,0,0
2025-03-22T00:05:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T00:10:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T00:15:00+00:00,456.27,0,0,0.5,0,0,0,0.5
2025-03-22T00:20:00+00:00,1008.18,0.25,0,0.5,0,0,0,0.25
2025-03-22T00:25:00+00:00,1560.08,0.5,0,0.5,0,0,0,0
2025-03-22T00:30:00+00:00,304.18,0,0,0.33,0,0,0.33,0.33
2025-03-22T00:35:00+00:00,1040.05,0.33,0,0.33,0,0,0,0.33
2025-03-22T00:40:00+00:00,1040.05,0.33,0,0.33,0,0,0,0.33
2025-03-22T00:45:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T00:50:00+00:00,1430.57,0.4,0,0.6,0,0,0,0
2025-03-22T00:55:00+00:00,608.37,0,0,0.67,0,0,0,0.33
2025-03-22T01:00:00+00:00,304.18,0,0,0.33,0,0,0,0.67
2025-03-22T01:05:00+00:00,1471.73,0.67,0,0,0,0,0,0.33
2025-03-22T01:10:00+00:00,608.37,0,0,0.67,0,0,0,0.33
2025-03-22T01:15:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T01:20:00+00:00,1040.05,0.33,0,0.33,0,0,0,0.33
2025-03-22T01:25:00+00:00,456.27,0,0,0.5,0,0,0,0.5
2025-03-22T01:30:00+00:00,1560.08,0.5,0,0.5,0,0,0,0
2025-03-22T01:35:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T01:40:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T01:45:00+00:00,1775.92,0.67,0,0.33,0,0,0,0
2025-03-22T01:50:00+00:00,608.37,0,0,0.67,0,0,0,0.33
2025-03-22T01:55:00+00:00,1775.92,0.67,0,0.33,0,0,0,0
2025-03-22T02:00:00+00:00,1430.57,0.4,0,0.6,0,0,0,0
2025-03-22T02:05:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T02:10:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T02:15:00+00:00,456.27,0,0,0.5,0,0,0,0.5
2025-03-22T02:20:00+00:00,608.37,0,0,0.67,0,0,0,0.33
2025-03-22T02:25:00+00:00,989.05,0.2,0,0.6,0,0,0,0.2
2025-03-22T02:30:00+00:00,976.3,0.17,0,0.67,0,0,0,0.17
2025-03-22T02:35:00+00:00,976.3,0.17,0,0.67,0,0,0,0.17
2025-03-22T02:40:00+00:00,684.41,0,0,0.75,0,0,0,0.25
2025-03-22T02:45:00+00:00,1008.18,0.25,0,0.5,0,0,0,0.25
2025-03-22T02:50:00+00:00,304.18,0,0,0.33,0,0,0,0.67
2025-03-22T02:55:00+00:00,608.37,0,0,0.67,0,0,0,0.33
2025-03-22T03:00:00+00:00,1331.94,0.5,0,0.25,0,0,0,0.25
2025-03-22T03:05:00+00:00,608.37,0,0,0.67,0,0,0,0.33
2025-03-22T03:10:00+00:00,1040.05,0.33,0,0.33,0,0,0,0.33
2025-03-22T03:15:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T03:20:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T03:25:00+00:00,1344.23,0.33,0,0.67,0,0,0,0
2025-03-22T03:30:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T03:35:00+00:00,1430.57,0.4,0,0.6,0,0,0,0
2025-03-22T03:40:00+00:00,1171.56,0.2,0,0.8,0,0,0,0
2025-03-22T03:45:00+00:00,1430.57,0.4,0,0.6,0,0,0,0
2025-03-22T03:50:00+00:00,1008.18,0.25,0,0.5,0,0,0,0.25
2025-03-22T03:55:00+00:00,1236.31,0.25,0,0.75,0,0,0,0
2025-03-22T04:00:00+00:00,1236.31,0.25,0,0.75,0,0,0,0
2025-03-22T04:05:00+00:00,608.37,0,0,0.67,0,0,0,0.33
2025-03-22T04:10:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T04:15:00+00:00,1430.57,0.4,0,0.6,0,0,0,0
2025-03-22T04:20:00+00:00,1236.31,0.25,0,0.75,0,0,0,0
2025-03-22T04:25:00+00:00,1430.57,0.4,0,0.6,0,0,0,0
2025-03-22T04:30:00+00:00,912.55,0,0,1,0,0,0,0
2025-03-22T04:35:00+00:00,1560.08,0.5,0,0.5,0,0,0,0
2025-03-22T04:40:00+00:00,1171.56,0.2,0,0.8,0,0,0,0
2025-03-22T04:45:00+00:00,976.3,0.17,0,0.67,0,0,0.17,0
2025-03-22T04:50:00+00:00,456.27,0,0,0.5,0,0,0,0.5
2025-03-22T04:55:00+00:00,1171.56,0.2,0,0.8,0,0,0,0
